,state,district
5056,Rajasthan,Nagaur
5066,Rajasthan,Jodhpur
5073,Rajasthan,Jaisalmer
5076,Rajasthan,Barmer
5084,Rajasthan,Jalor
5091,Rajasthan,Sirohi
5096,Rajasthan,Pali
5105,Rajasthan,Ajmer
5114,Rajasthan,Tonk
5121,Rajasthan,Bundi
5126,Rajasthan,Bhilwara
5138,Rajasthan,Rajsamand
5145,Rajasthan,Dungarpur
5149,Rajasthan,Banswara
5154,Rajasthan,Chittaurgarh
5164,Rajasthan,Kota
5170,Rajasthan,Baran
5178,Rajasthan,Jhalawar
5186,Rajasthan,Udaipur
5198,Rajasthan,Pratapgarh
5203,Sikkim,North  District
5206,Sikkim,West District
5209,Sikkim,South District
5212,Sikkim,East District
5216,Tamil Nadu,Thiruvallur
5225,Tamil Nadu,Chennai
5226,Tamil Nadu,Kancheepuram
5236,Tamil Nadu,Vellore
5245,Tamil Nadu,Tiruvannamalai
5252,Tamil Nadu,Viluppuram
5260,Tamil Nadu,Salem
5269,Tamil Nadu,Namakkal
5274,Tamil Nadu,Erode
5279,Tamil Nadu,The Nilgiris
5286,Tamil Nadu,Dindigul
5294,Tamil Nadu,Karur
5300,Tamil Nadu,Tiruchirappalli
5309,Tamil Nadu,Perambalur
5313,Tamil Nadu,Ariyalur
5317,Tamil Nadu,Cuddalore
5324,Tamil Nadu,Nagapattinam
5333,Tamil Nadu,Thiruvarur
5340,Tamil Nadu,Thanjavur
5348,Tamil Nadu,Pudukkottai
5359,Tamil Nadu,Sivaganga
5365,Tamil Nadu,Madurai
5373,Tamil Nadu,Theni
5379,Tamil Nadu,Virudhunagar
5387,Tamil Nadu,Ramanathapuram
5394,Tamil Nadu,Thoothukkudi
5402,Tamil Nadu,Tirunelveli
5414,Tamil Nadu,Kanniyakumari
5419,Tamil Nadu,Dharmapuri
5424,Tamil Nadu,Krishnagiri
5429,Tamil Nadu,Coimbatore
5436,Tamil Nadu,Tiruppur
5443,Tripura,West Tripura
5460,Tripura,South Tripura
5472,Tripura,Dhalai
5478,Tripura,North Tripura
5487,Uttarakhand,Uttarkashi
5494,Uttarakhand,Chamoli
5500,Uttarakhand,Rudraprayag
5504,Uttarakhand,Tehri Garhwal
5512,Uttarakhand,Dehradun
5519,Uttarakhand,Garhwal
5529,Uttarakhand,Pithoragarh
5536,Uttarakhand,Bageshwar
5541,Uttarakhand,Almora
5550,Uttarakhand,Champawat
5554,Uttarakhand,Nainital
5562,Uttarakhand,Udham Singh Nagar
5570,Uttarakhand,Haridwar
5573,Uttar Pradesh,Saharanpur
5578,Uttar Pradesh,Muzaffarnagar
5584,Uttar Pradesh,Bijnor
5589,Uttar Pradesh,Moradabad
5595,Uttar Pradesh,Rampur
5601,Uttar Pradesh,Jyotiba Phule Nagar
5605,Uttar Pradesh,Meerut
5608,Uttar Pradesh,Baghpat
5611,Uttar Pradesh,Ghaziabad
5615,Uttar Pradesh,Gautam Buddha Nagar
5618,Uttar Pradesh,Bulandshahr
5626,Uttar Pradesh,Aligarh
5632,Uttar Pradesh,Mahamaya Nagar
5637,Uttar Pradesh,Mathura
5641,Uttar Pradesh,Agra
5647,Uttar Pradesh,Firozabad
5651,Uttar Pradesh,Mainpuri
5654,Uttar Pradesh,Budaun
5660,Uttar Pradesh,Bareilly
5667,Uttar Pradesh,Pilibhit
5671,Uttar Pradesh,Shahjahanpur
5675,Uttar Pradesh,Kheri
5682,Uttar Pradesh,Sitapur
5688,Uttar Pradesh,Hardoi
5694,Uttar Pradesh,Unnao
5699,Uttar Pradesh,Lucknow
5703,Uttar Pradesh,Rae Bareli
5711,Uttar Pradesh,Farrukhabad
5715,Uttar Pradesh,Kannauj
5718,Uttar Pradesh,Etawah
5723,Uttar Pradesh,Auraiya
5726,Uttar Pradesh,Kanpur Dehat
5732,Uttar Pradesh,Kanpur Nagar
5736,Uttar Pradesh,Jalaun
5742,Uttar Pradesh,Jhansi
5747,Uttar Pradesh,Lalitpur
5751,Uttar Pradesh,Hamirpur
5755,Uttar Pradesh,Mahoba
5759,Uttar Pradesh,Banda
5763,Uttar Pradesh,Chitrakoot
5766,Uttar Pradesh,Fatehpur
5769,Uttar Pradesh,Pratapgarh
5774,Uttar Pradesh,Kaushambi
5778,Uttar Pradesh,Allahabad
5787,Uttar Pradesh,Bara Banki
5794,Uttar Pradesh,Faizabad
5799,Uttar Pradesh,Ambedkar Nagar
5805,Uttar Pradesh,Sultanpur
5812,Uttar Pradesh,Bahraich
5816,Uttar Pradesh,Shrawasti
5819,Uttar Pradesh,Balrampur
5822,Uttar Pradesh,Gonda
5827,Uttar Pradesh,Siddharthnagar
5833,Uttar Pradesh,Basti
5837,Uttar Pradesh,Sant Kabir Nagar
5841,Uttar Pradesh,Mahrajganj
5846,Uttar Pradesh,Gorakhpur
5853,Uttar Pradesh,Kushinagar
5858,Uttar Pradesh,Deoria
5863,Uttar Pradesh,Azamgarh
5871,Uttar Pradesh,Mau
5876,Uttar Pradesh,Ballia
5882,Uttar Pradesh,Jaunpur
5889,Uttar Pradesh,Ghazipur
5894,Uttar Pradesh,Chandauli
5897,Uttar Pradesh,Varanasi
5899,Uttar Pradesh,Sant Ravidas Nagar (Bhadohi)
5903,Uttar Pradesh,Mirzapur
5907,Uttar Pradesh,Sonbhadra
5911,Uttar Pradesh,Etah
5914,Uttar Pradesh,Kanshiram Nagar
5918,West Bengal,Darjiling
5931,West Bengal,Jalpaiguri
5945,West Bengal,Koch Bihar
5958,West Bengal,Uttar Dinajpur
5968,West Bengal,Dakshin Dinajpur
5977,West Bengal,Maldah
5993,West Bengal,Murshidabad
6020,West Bengal,Birbhum
6040,West Bengal,Barddhaman
6072,West Bengal,Nadia
6090,West Bengal,North Twenty Four Parganas
6113,West Bengal,Hugli
6132,West Bengal,Bankura
6155,West Bengal,Puruliya
6176,West Bengal,Haora
6191,West Bengal,Kolkata
6192,West Bengal,South Twenty Four Parganas
6223,West Bengal,Paschim Medinipur
6253,West Bengal,Purba Medinipur
